Date,Open,High,Low,Close,Volume,Volume MA,K-line,D-line,Crossover,Crossunder
2020-03-11T19:05:00Z,272.57,272.75,271.35,271.59,624450,341191.7,NaN,NaN,NaN,NaN
2020-03-11T19:10:00Z,271.61,272.41,271.07,271.12,527753,355749.65,NaN,NaN,NaN,NaN
2020-03-11T19:15:00Z,271.11,272.55,271.03,272.17,833102,387561.9,NaN,NaN,NaN,NaN
2020-03-11T19:20:00Z,272.19,272.37,270.89,270.96,573063,406039.75,NaN,NaN,NaN,NaN
2020-03-11T19:25:00Z,270.96,273.19,270.96,272.89,828235,435605.9,NaN,NaN,NaN,NaN
2020-03-11T19:30:00Z,272.86,275.43,272.42,274.88,1064427,481308.25,NaN,NaN,NaN,NaN
2020-03-11T19:35:00Z,274.88,276.11,274.23,275.47,1147850,525622.8,NaN,NaN,NaN,NaN
2020-03-11T19:40:00Z,275.5,276.33,274.61,274.99,939348,559358.75,NaN,NaN,NaN,NaN
2020-03-11T19:45:00Z,274.98,276.07,274.21,275.22,1071445,594921.05,NaN,NaN,NaN,NaN
2020-03-11T19:50:00Z,275.22,276.3,273.23,274.68,1804109,675954.7,NaN,NaN,NaN,NaN
2020-03-11T19:55:00Z,274.71,275.47,274.17,274.4,1455807,738014.55,NaN,NaN,NaN,NaN
2020-03-12T13:30:00Z,255.99,257.41,255.08,255.29,672663,759038.85,NaN,NaN,NaN,NaN
2020-03-12T13:35:00Z,255.26,255.79,255.16,255.26,91340,747897.65,NaN,NaN,NaN,NaN
2020-03-12T13:50:00Z,254.56,255.01,249.73,251.59,760290,760871.2,NaN,NaN,NaN,NaN
2020-03-12T13:55:00Z,251.57,259.12,250.99,258.62,1047883,794443.7,NaN,NaN,NaN,NaN
2020-03-12T14:00:00Z,258.6,258.63,253.8,254.01,1020280,813318.4,NaN,NaN,NaN,NaN
2020-03-12T14:05:00Z,254.04,255.58,253.24,253.88,1034376,848036.6,NaN,NaN,NaN,NaN
2020-03-12T14:10:00Z,253.88,256.14,253.35,255.4,1081105,876098.4,NaN,NaN,NaN,NaN
2020-03-12T14:15:00Z,255.4,256.85,254.56,255.39,775489,892770.75,NaN,NaN,NaN,NaN
2020-03-12T14:20:00Z,255.36,256.02,254.21,255.74,607960,898048.75,NaN,NaN,NaN,NaN
2020-03-12T14:25:00Z,255.79,257.41,255.76,256.17,1002825,916967.5,NaN,NaN,NaN,NaN
2020-03-12T14:30:00Z,256.17,257.92,255.54,257.44,1032996,942229.65,NaN,NaN,NaN,NaN
